"N" "K_means" "K_sd" "lambda_means" "lambda_sd" "c_means" "c_sd" "fitness_means" "fitness_sd" "r"
"73" 679 950.027263363653 0.0501803411288597 1.58285599225343 0.10240220593653 -1.95983660179046 0.0919142440002589 1.51829647267949 0.06639351567987 0.714716330977642
"74" 1065 950.030305178953 0.0511094943638494 1.59233227480397 0.104670346277192 -1.9549074743461 0.0903294511179079 0.642531165973771 0.0203760649919124 1.1210168709296
"75" 664 950.029984386745 0.0537334334701007 1.6015812447883 0.106226320328797 -1.94483173689083 0.0973164810130031 1.54049625659325 0.0727496797299267 0.698925308582359
"76" 1034 950.027993672358 0.0538558220649128 1.60011370129772 0.106996551120113 -1.93881065628432 0.101670137046627 0.737208784488235 0.0146590472299338 1.08838898104786
"77" 764 950.029541382774 0.0551127683469801 1.59960491827661 0.110151527197852 -1.9311321530566 0.113456979774508 1.43665327231634 0.0426641391543262 0.804185519208164
"78" 1144 950.028246675265 0.0560850905352805 1.60271330526562 0.108441459615511 -1.93002498905965 0.10978020185718 0.444916778153385 0.0369986057404852 1.20417472217648
"79" 501 950.028893607766 0.0595828724512827 1.60742143003702 0.10718219149944 -1.93271931022405 0.116608063701132 1.59883185397531 0.100783022799329 0.527352381986443
"80" 814 950.03011339477 0.06177208388171 1.61707179239952 0.106905448492063 -1.92692109980326 0.110810450404721 1.35661429615835 0.023199428318884 0.856814945677154
"81" 1083 950.031036253479 0.0631577618484816 1.62494147815345 0.106862000650071 -1.92471414186985 0.106175642666034 0.60031926669834 0.025883197388407 1.13996275771252
"82" 647 950.032312847894 0.0642018235975477 1.63319294130961 0.105871024460388 -1.92223726123589 0.107867895077318 1.57317040748561 0.0766694859496413 0.681029467366747
"83" 1015 950.029373167629 0.0691333102806476 1.63994376101097 0.107572896200145 -1.91892234458618 0.106521012296587 0.799044308382215 0.011109892568344 1.06838801901013
"84" 808 950.031323616066 0.065552222654766 1.63431896583509 0.107214064405316 -1.9130521012439 0.105271627204971 1.37166657034063 0.0256246385918349 0.850498272966982
"85" 1063 950.030285894729 0.0656453791382931 1.63868577383273 0.106319764813761 -1.91005576836309 0.109168247186838 0.658902299369746 0.0210990443047719 1.11891169764012
"86" 667 950.026318163412 0.0687248757597172 1.64344596228378 0.108252496202967 -1.90361579994991 0.112005036608814 1.56492414219959 0.0719744724686811 0.702085813042993
"87" 1042 950.026690930968 0.0703652421016206 1.65570930069134 0.104167480746049 -1.89334305025762 0.108196773806398 0.722086416020976 0.0155704549839247 1.09681128956377
"88" 777 950.0263874609 0.0716003896128165 1.65722094698617 0.102774599903874 -1.88840788843971 0.112345561683221 1.43437210279042 0.0340439458865431 0.81787201940428
"89" 1107 950.025766816202 0.0719194337737924 1.6585697098539 0.101843288822716 -1.89315994516742 0.111399189194801 0.548527828377956 0.0282344726050754 1.16523155336077
"90" 602 950.02243761203 0.0725068396972117 1.65856108448693 0.107618229920841 -1.88680285381653 0.121274273304826 1.61588418181143 0.0862607159458394 0.633669244184572
"91" 986 950.018842038392 0.076642762263446 1.66477111603312 0.105868872034482 -1.88379044989354 0.121432648919666 0.890204685198765 0.00541589120527041 1.03787415193198
"92" 857 950.022142341065 0.0752783770268419 1.66153410376272 0.107800129175974 -1.88688124574783 0.116146628560058 1.26321479029027 0.0121402994097667 0.902084237624359
"93" 1083 950.024767934935 0.0742127148987031 1.6652740949151 0.107326837359729 -1.88508995891138 0.115118730739523 0.611083604275751 0.0238888210416968 1.13997027925294
"94" 660 950.018541983528 0.0781504733812719 1.66835243079707 0.106530896809977 -1.87790664002766 0.117231703149516 1.58564214218294 0.0701659266709691 0.694723282581409
"95" 1061 950.018000620596 0.0807417691879661 1.67724498729088 0.102670986543299 -1.87442888007703 0.116964355864464 0.672524794488766 0.0195957984432331 1.1168209437157
"96" 681 950.010987407293 0.0828991136171642 1.680914784819 0.104750647247454 -1.87057580218468 0.119851933653424 1.57400962456214 0.0617195478387762 0.716833814584124
"97" 1123 950.013563312343 0.0847904268890519 1.68765771324105 0.102314843497049 -1.86831971614413 0.119717482904718 0.519157624691173 0.0302459631719095 1.18208838628
"98" 588 950.016786240055 0.0830896578036271 1.68479643411838 0.101608444218424 -1.86315499484849 0.117002034859042 1.64281532584339 0.0818756269093124 0.618936431983657
"99" 982 950.017701323882 0.0839676220465641 1.68745442488751 0.102714034270432 -1.87124801257374 0.124149716478073 0.903075999375776 0.00480205271752647 1.03366495027572
